stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1952,477,Lawrenceville Hwy & Shell/Lilburn Animal,,33.889713999999998,-84.144679999999994,,,0,,0
1953,481,Lawrenceville Hwy & Rockbridge Rd (Walgr,,33.883544000000001,-84.161388000000002,,,0,,0
1954,486,Lawrenceville Hwy & Popeyes OB,,33.903717999999998,-84.118255000000005,,,0,,0
1955,487,Lawrenceville Hwy & Lawrenceville Pediat,,33.941921000000001,-84.012935999999996,,,0,,0
1956,497,McDonough Dr & DACA Specialty Svc OB,,33.904114999999997,-84.219756000000004,,,0,,0
1957,501,Marathon Oil  IB,,33.908827000000002,-84.271647000000002,,,0,,0
1958,520,Mitchell St & Central Ave OB,,33.749651,-84.390792000000005,,,0,,0
196,196,Buford Hwy & Simpson Cir,,33.966006999999998,-84.177781999999993,,,0,,0
1960,540,N Berkeley Lake Rd & The Estates Apts IB,,33.971260999999998,-84.155421000000004,,,0,,0
1961,542,N Berkeley Lake Road & Wal-Mart,,33.968890000000002,-84.149368999999993,,,0,,0
1962,551,Old Norcross Rd & Discovery HS IB,,33.954335,-84.036771000000002,,,0,,0
1963,553,Old Norcross Rd & Riverside Pkwy IB,,33.953327000000002,-84.026152999999994,,,0,,0
1964,555,Old Norcross Rd & Sweetwater Rd IB,,33.951723999999999,-84.100865999999996,,,0,,0
1965,558,S Norcross Tucker Rd & Checkers,,33.901336000000001,-84.205752000000004,,,0,,0
1966,561,S Norcross Tucker Rd & Graves Rd,,33.895589999999999,-84.209982999999994,,,0,,0
1967,563,S Norcorss Tucker Rd & Oakwood Cir,,33.899132000000002,-84.2072,,,0,,0
1968,574,Live Oak Pkwy at Lakeside Corporate Ct,,33.912348000000001,-84.200491999999997,,,0,,0
1969,576,Oakbrook Pkwy & Oakbrook Dr,,33.915241000000002,-84.197798000000006,,,0,,0
197,197,Buford Hwy & Summerour St IB,,33.942599999999999,-84.206509999999994,,,0,,0
1970,580,Old Norcross Rd & Sweetwater Rd OB,,33.952120000000001,-84.102462000000003,,,0,,0
