trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
894090,15,2,"CUMBERLAND TRANSFER CENTER",,0,1468109,shp-15-01,0,0
895070,25,3,"CUMBERLAND TRANSFER CENTER",,1,1325007,shp-25-01,0,0
897070,45,3,"KSU-KENNESAW CAMPUS",,0,1324507,shp-45-01,0,0
898090,25,2,"MARTA HOLMES STATION",,0,1473409,shp-25-51,0,0
899070,20,3,"MARIETTA TRANSFER CENTER",,1,1323607,shp-20-54,0,0
902010,20,4,"MARIETTA TRANSFER CENTER",,1,1311901,shp-20-54,0,0
91070,RAPID,3,"MARTA ARTS CENTER STATION with limited stops",,0,1321807,shp-Rapid-01,0,0
911070,15,3,"CUMBERLAND TRANSFER CENTER",,0,1324407,shp-15-01,0,0
913010,50,4,"CUMBERLAND TRANSFER CENTER",,0,1310901,shp-50-01,0,0
914010,RAPID,4,"MARTA ARTS CENTER STATION with limited stops",,0,1310701,shp-Rapid-01,0,0
915070,RAPID,3,"MARTA ARTS CENTER STATION with limited stops",,0,1323007,shp-Rapid-01,0,0
917090,50,2,"MARIETTA TRANSFER CENTER",,1,1467809,shp-50-51,0,0
919070,10,3,"MARTA ARTS CENTER STATION",,0,1322107,shp-10-03,0,0
920090,15,2,"CUMBERLAND TRANSFER CENTER",,0,1469209,shp-15-01,0,0
92070,20,3,"CUMBERLAND TRANSFER CENTER",,0,1323607,shp-20-03,0,0
921070,30,3,"MARIETTA TRANSFER CENTER",,1,1323207,shp-30-52,0,0
926010,RAPID,4,"MARIETTA TRANSFER CENTER with limited stops",,0,1310701,shp-Rapid-03,0,0
936020,40,1,"MARIETTA TRANSFER CENTER",,1,1457902,shp-40-51,0,0
939070,10,3,"MARIETTA TRANSFER CENTER",,1,1323707,shp-10-52,0,0
942010,BLUE,4,"BATTERY/CUMBERLAND TRANSFER CENT/WILDWOOD",,1,1393001,shp-Blue-01,0,0
944090,30,2,"MARIETTA TRANSFER CENTER",,1,1469109,shp-30-52,0,0
95020,25,1,"MARTA HOLMES STATION",,0,1460602,shp-25-51,0,0
953090,30,2,"MARIETTA TRANSFER CENTER",,1,1466609,shp-30-52,0,0
956070,40,3,"KSU-KENNESAW CAMPUS",,0,1322007,shp-40-01,0,0
958090,20,2,"CUMBERLAND TRANSFER CENTER",,0,1467209,shp-20-03,0,0
996090,30,2,"MARIETTA TRANSFER CENTER",,1,1469109,shp-30-52,0,0
959010,RAPID,4,"KSU-KENNESAW CAMPUS with limited stops",,1,1310501,shp-Rapid-52,0,0
960090,30,2,"MARIETTA TRANSFER CENTER",,1,1467309,shp-30-51,0,0
961090,30,2,"MARIETTA TRANSFER CENTER",,1,1469109,shp-30-52,0,0
963020,20,1,"MARIETTA TRANSFER CENTER",,1,1454502,shp-20-54,0,0
963090,20,2,"MARIETTA TRANSFER CENTER",,1,1468409,shp-20-54,0,0
97010,BLUE,4,"BATTERY/CUMBERLAND TRANSFER CENT/WILDWOOD",,1,1312501,shp-Blue-01,0,0
973090,50,2,"CUMBERLAND TRANSFER CENTER",,0,1468309,shp-50-01,0,0
978070,RAPID,3,"MARTA ARTS CENTER STATION with limited stops",,0,1321807,shp-Rapid-01,0,0
981070,25,3,"CUMBERLAND TRANSFER CENTER",,1,1324707,shp-25-01,0,0
983090,30,2,"MARTA HOLMES STATION",,0,1466709,shp-30-01,0,0
984090,45,2,"MARIETTA TRANSFER CENTER",,1,1470709,shp-45-51,0,0
986090,50,2,"CUMBERLAND TRANSFER CENTER",,0,1467809,shp-50-01,0,0
991010,15,4,"CUMBERLAND TRANSFER CENTER",,0,1312001,shp-15-01,0,0
993070,BLUE,3,"BATTERY/CUMBERLAND TRANSFER CENT/WILDWOOD",,1,1324607,shp-Blue-01,0,0
997070,RAPID,3,"MARIETTA TRANSFER CENTER with limited stops",,1,1322207,shp-Rapid-51,0,0
1156090,20,2,"MARIETTA TRANSFER CENTER",,1,1468809,shp-20-54,0,0
1157090,50,2,"CUMBERLAND TRANSFER CENTER",,0,1468909,shp-50-01,0,0
1158020,20,1,"CUMBERLAND TRANSFER CENTER",,0,1453302,shp-20-03,0,0
1159020,RAPID,1,"KSU-KENNESAW CAMPUS with limited stops",,1,1457302,shp-Rapid-52,0,0
1160010,25,4,"CUMBERLAND TRANSFER CENTER",,1,1311501,shp-25-01,0,0
1161070,25,3,"CUMBERLAND TRANSFER CENTER",,1,1323107,shp-25-01,0,0
1165020,50,1,"MARIETTA TRANSFER CENTER",,1,1453902,shp-50-51,0,0
1166010,45,4,"KSU-KENNESAW CAMPUS",,0,1312401,shp-45-01,0,0
1167090,25,2,"CUMBERLAND TRANSFER CENTER",,1,1473309,shp-25-01,0,0
1170010,10,4,"MARIETTA TRANSFER CENTER",,1,1312101,shp-10-52,0,0
117090,25,2,"MARTA HOLMES STATION",,0,1473909,shp-25-51,0,0
1171010,10,4,"MARTA ARTS CENTER STATION",,0,1312101,shp-10-03,0,0
1174070,15,3,"MARIETTA TRANSFER CENTER",,1,1323407,shp-15-51,0,0
1175020,RAPID,1,"MARTA ARTS CENTER STATION with limited stops",,0,1458202,shp-Rapid-01,0,0
1177010,30,4,"MARTA HOLMES STATION",,0,1310801,shp-30-01,0,0
1180070,10,3,"MARIETTA TRANSFER CENTER",,1,1322107,shp-10-52,0,0
1182090,20,2,"CUMBERLAND TRANSFER CENTER",,0,1468409,shp-20-03,0,0
1183020,20,1,"MARIETTA TRANSFER CENTER",,1,1453602,shp-20-54,0,0
1187070,20,3,"CUMBERLAND TRANSFER CENTER",,0,1322707,shp-20-03,0,0
1188070,10,3,"MARTA ARTS CENTER STATION",,0,1322107,shp-10-03,0,0
1189070,10,3,"MARTA ARTS CENTER STATION",,0,1324207,shp-10-03,0,0
1191020,20,1,"CUMBERLAND TRANSFER CENTER",,0,1454902,shp-20-03,0,0
1194090,30,2,"MARTA HOLMES STATION",,0,1466509,shp-30-01,0,0
1196020,30,1,"MARIETTA TRANSFER CENTER",,1,1453002,shp-30-52,0,0
1196090,30,2,"MARIETTA TRANSFER CENTER",,1,1466909,shp-30-52,0,0
12020,10,1,"MARIETTA TRANSFER CENTER",,1,1454302,shp-10-52,0,0
123090,50,2,"CUMBERLAND TRANSFER CENTER",,0,1468909,shp-50-01,0,0
124020,20,1,"CUMBERLAND TRANSFER CENTER",,0,1454902,shp-20-03,0,0
132020,RAPID,1,"MARTA ARTS CENTER STATION with limited stops",,0,1458602,shp-Rapid-02,0,0
136010,RAPID,4,"MARIETTA TRANSFER CENTER with limited stops",,1,1311401,shp-Rapid-51,0,0
140090,25,2,"CUMBERLAND TRANSFER CENTER",,1,1473609,shp-25-01,0,0
141020,15,1,"MARIETTA TRANSFER CENTER",,1,1453802,shp-15-51,0,0
152070,45,3,"MARIETTA TRANSFER CENTER",,1,1324107,shp-45-51,0,0
154090,RAPID,2,"KSU-KENNESAW CAMPUS with limited stops",,1,1471109,shp-Rapid-52,0,0
155020,15,1,"MARIETTA TRANSFER CENTER",,1,1453802,shp-15-51,0,0
158020,25,1,"CUMBERLAND TRANSFER CENTER",,1,1460802,shp-25-01,0,0
158090,25,2,"CUMBERLAND TRANSFER CENTER",,1,1473909,shp-25-01,0,0
161090,45,2,"MARIETTA TRANSFER CENTER",,1,1470709,shp-45-51,0,0
162090,RAPID,2,"KSU-KENNESAW CAMPUS with limited stops",,1,1471609,shp-Rapid-52,0,0
169010,BLUE,4,"BATTERY/CUMBERLAND TRANSFER CENT/WILDWOOD",,1,1312501,shp-Blue-01,0,0
170070,RAPID,3,"KSU-KENNESAW CAMPUS with limited stops",,1,1322907,shp-Rapid-52,0,0
171020,25,1,"CUMBERLAND TRANSFER CENTER",,1,1460702,shp-25-01,0,0
173070,40,3,"KSU-KENNESAW CAMPUS",,0,1323307,shp-40-01,0,0
178010,40,4,"MARIETTA TRANSFER CENTER",,1,1311801,shp-40-51,0,0
179070,30,3,"MARIETTA TRANSFER CENTER",,1,1322407,shp-30-52,0,0
181020,20,1,"MARIETTA TRANSFER CENTER",,1,1453302,shp-20-54,0,0
183020,RAPID,1,"KSU-KENNESAW CAMPUS with limited stops",,1,1458402,shp-Rapid-52,0,0
185020,30,1,"MARIETTA TRANSFER CENTER",,1,1455702,shp-30-52,0,0
189010,25,4,"MARTA HOLMES STATION",,0,1310201,shp-25-51,0,0
19090,45,2,"MARIETTA TRANSFER CENTER",,1,1470909,shp-45-51,0,0
199020,15,1,"CUMBERLAND TRANSFER CENTER",,0,1455302,shp-15-01,0,0
202020,30,1,"MARIETTA TRANSFER CENTER",,1,1455202,shp-30-52,0,0
204020,15,1,"MARIETTA TRANSFER CENTER",,1,1455102,shp-15-51,0,0
204090,15,2,"MARIETTA TRANSFER CENTER",,1,1469009,shp-15-51,0,0
208020,30,1,"MARTA HOLMES STATION",,0,1455402,shp-30-01,0,0
208090,30,2,"MARTA HOLMES STATION",,0,1469309,shp-30-01,0,0
209020,15,1,"CUMBERLAND TRANSFER CENTER",,0,1453802,shp-15-01,0,0
210070,10,3,"MARIETTA TRANSFER CENTER",,1,1322507,shp-10-52,0,0
212010,40,4,"MARIETTA TRANSFER CENTER",,1,1311001,shp-40-51,0,0
215020,RAPID,1,"KSU-KENNESAW CAMPUS with limited stops",,1,1458202,shp-Rapid-52,0,0
216020,RAPID,1,"MARTA ARTS CENTER STATION with limited stops",,0,1458402,shp-Rapid-01,0,0
217090,30,2,"MARIETTA TRANSFER CENTER",,1,1469409,shp-30-52,0,0
218010,25,4,"MARTA HOLMES STATION",,0,1310101,shp-25-51,0,0
222090,45,2,"MARIETTA TRANSFER CENTER",,1,1470909,shp-45-51,0,0
225090,RAPID,2,"MARTA ARTS CENTER STATION with limited stops",,0,1471609,shp-Rapid-02,0,0
226090,30,2,"MARTA HOLMES STATION",,0,1468609,shp-30-01,0,0
23090,45,2,"KSU-KENNESAW CAMPUS",,0,1470909,shp-45-01,0,0
232010,RAPID,4,"MARTA ARTS CENTER STATION with limited stops",,0,1310701,shp-Rapid-01,0,0
233020,45,1,"KSU-KENNESAW CAMPUS",,0,1457802,shp-45-01,0,0
238020,45,1,"KSU-KENNESAW CAMPUS",,0,1457602,shp-45-01,0,0
239020,15,1,"CUMBERLAND TRANSFER CENTER",,0,1455102,shp-15-01,0,0
24010,20,4,"MARIETTA TRANSFER CENTER",,1,1311201,shp-20-54,0,0
243070,BLUE,3,"BATTERY/CUMBERLAND TRANSFER CENT/WILDWOOD",,1,1393107,shp-Blue-01,0,0
249020,RAPID,1,"KSU-KENNESAW CAMPUS with limited stops",,1,1458502,shp-Rapid-52,0,0
25010,40,4,"MARIETTA TRANSFER CENTER",,1,1311001,shp-40-51,0,0
254020,10,1,"MARTA ARTS CENTER STATION",,0,1452902,shp-10-03,0,0
260090,15,2,"CUMBERLAND TRANSFER CENTER",,0,1467709,shp-15-01,0,0
266010,25,4,"CUMBERLAND TRANSFER CENTER",,1,1312301,shp-25-01,0,0
271020,RAPID,1,"MARTA ARTS CENTER STATION with limited stops",,0,1461102,shp-Rapid-02,0,0
273010,45,4,"MARIETTA TRANSFER CENTER",,1,1312401,shp-45-51,0,0
275010,RAPID,4,"MARTA ARTS CENTER STATION with limited stops",,0,1310501,shp-Rapid-01,0,0
277020,RAPID,1,"MARIETTA TRANSFER CENTER with limited stops",,1,1458602,shp-Rapid-51,0,0
282070,15,3,"CUMBERLAND TRANSFER CENTER",,0,1323407,shp-15-01,0,0
290020,50,1,"CUMBERLAND TRANSFER CENTER",,0,1454602,shp-50-01,0,0
291070,10,3,"MARIETTA TRANSFER CENTER",,1,1322507,shp-10-52,0,0
292020,10,1,"MARIETTA TRANSFER CENTER",,1,1452902,shp-10-52,0,0
298070,40,3,"MARIETTA TRANSFER CENTER",,1,1323307,shp-40-51,0,0
30020,30,1,"MARIETTA TRANSFER CENTER",,1,1454702,shp-30-52,0,0
30090,30,2,"MARIETTA TRANSFER CENTER",,1,1468609,shp-30-52,0,0
304090,15,2,"CUMBERLAND TRANSFER CENTER",,0,1469209,shp-15-01,0,0
307070,RAPID,3,"KSU-KENNESAW CAMPUS with limited stops",,1,1322207,shp-Rapid-52,0,0
31090,15,2,"CUMBERLAND TRANSFER CENTER",,0,1467009,shp-15-01,0,0
313070,40,3,"MARIETTA TRANSFER CENTER",,1,1322007,shp-40-51,0,0
316070,RAPID,3,"KSU-KENNESAW CAMPUS with limited stops",,1,1321807,shp-Rapid-52,0,0
317020,10,1,"MARIETTA TRANSFER CENTER",,1,1453202,shp-10-52,0,0
318090,30,2,"MARTA HOLMES STATION",,0,1466609,shp-30-01,0,0
323070,15,3,"MARIETTA TRANSFER CENTER",,1,1323407,shp-15-51,0,0
325020,BLUE,1,"BATTERY/CUMBERLAND TRANSFER CENT/WILDWOOD",,1,1458802,shp-Blue-01,0,0
325090,BLUE,2,"BATTERY/CUMBERLAND TRANSFER CENT/WILDWOOD",,1,1471909,shp-Blue-01,0,0
327020,30,1,"MARIETTA TRANSFER CENTER",,1,1453502,shp-30-52,0,0
327090,30,2,"MARIETTA TRANSFER CENTER",,1,1467409,shp-30-52,0,0
33070,25,3,"CUMBERLAND TRANSFER CENTER",,1,1323107,shp-25-01,0,0
334020,RAPID,1,"MARIETTA TRANSFER CENTER with limited stops",,1,1457202,shp-Rapid-51,0,0
334090,RAPID,2,"MARIETTA TRANSFER CENTER with limited stops",,1,1470309,shp-Rapid-51,0,0
337010,30,4,"MARIETTA TRANSFER CENTER",,1,1310801,shp-30-52,0,0
339020,30,1,"MARTA HOLMES STATION",,0,1454702,shp-30-01,0,0
34070,40,3,"MARIETTA TRANSFER CENTER",,1,1322007,shp-40-51,0,0
342090,RAPID,2,"KSU-KENNESAW CAMPUS with limited stops",,1,1471209,shp-Rapid-52,0,0
346020,50,1,"MARIETTA TRANSFER CENTER",,1,1453902,shp-50-51,0,0
348010,30,4,"MARIETTA TRANSFER CENTER",,1,1310401,shp-30-52,0,0
349020,30,1,"MARTA HOLMES STATION",,0,1454102,shp-30-01,0,0
351010,45,4,"KSU-KENNESAW CAMPUS",,0,1312401,shp-45-01,0,0
354010,10,4,"MARTA ARTS CENTER STATION",,0,1312101,shp-10-03,0,0
356020,15,1,"CUMBERLAND TRANSFER CENTER",,0,1454202,shp-15-01,0,0
360090,30,2,"MARTA HOLMES STATION",,0,1469109,shp-30-01,0,0
